brand, joma_model, final_price, availability, shipping, type_of_sale, model
Series 800 Gray Dial Black Leather Strap Men's Watch,2600118,$449.00,In Stock.,Free Shipping,Black Friday Sale  Exp. 11/29,2600118
SE Black Dial Black Leather Men's Watch,2600117,$881.40,Ships In 1 - 2 Weeks.,Free Shipping,"",2600117
Integral Ceramic Diamond Watch,R20757155,"$2,217.19",Out of Stock,"","",R20757155
Integral Steel Diamond Ladies Watch,R20758155,"$2,040.83",Out of Stock,"","",R20758155
Off The Grill Black Dial White Silicone Ladies Watch,GW704,$42.39,Out of Stock,"","",GW704
Originals Daily Friend Blue Dial Brown Leather Unisex Watch,SUOK701,$48.77,Out of Stock,"","FREE DOMESTIC SHIPPING  WITH CODE ""FASTSHIP""",SUOK701
Sprinkled Unisex Watch,SUOW705,$49.45,Out of Stock,"","",SUOW705
Leblon Chronograph Beige Dial Brown Leather Men's Watch,YVS408,$121.50,Out of Stock,"","",YVS408
G Shock Mudman Scorpion Digital Black Resin Men's Watch G93001,G9300-1,$127.29,Out of Stock,"","",G9300-1
Swiss Brillante Pink Glitter Silicone Double Wrap Strap Ladies Watch,LP132,$42.39,Out of Stock,"","",LP132
Disco Lady Ladies Watch,LK339G,$49.23,Out of Stock,"","",LK339G
Pure Net Ladies Watch,SFM127,$73.69,Out of Stock,"","FREE DOMESTIC SHIPPING  WITH CODE ""FASTSHIP""",SFM127
Dreamwhite Chronograph White Dial Two-tone Ladies Watch,YCS511GC,$127.06,Out of Stock,"","",YCS511GC
Blue Dial Black Silicone Men's Watch,GB281,$42.54,Out of Stock,"","FREE DOMESTIC SHIPPING  WITH CODE ""FASTSHIP""",GB281
Chronograph Dark Grey Dial Black Ion-plated Men's Watch,BU9354,$760.75,Out of Stock,"","",BU9354
Nova Check Silver Dial Beige Fabric Strap Ladies Watch,BU9503,$334.37,Out of Stock,"","",BU9503
White Dial Tan Leather Ladies Watch,BU7823,$445.50,Out of Stock,"","",BU7823
Silver Dial Two-Tone Stainless Steel Unisex Watch,BU9006,$505.75,Out of Stock,"","",BU9006
Silver Dial Two-tone Silver and Gold-tone Bracelet Ladies Watch,BU9115,$405.41,Out of Stock,"","",BU9115
Slim Runway Champagne Dial Tan Leather Strap Ladies Watch,MK2326,$99.99,Ships In 1 - 2 Weeks.,$5.99 Shipped,Cyber Monday Sale,MK2326
Channing Tigers Eye Dial Rose Gold-plated Rose gold-tone,MK5895,$139.00,Out of Stock,"","",Mk5895
Lexington Chronograph White Dial Two-tone Men's Watch,MK8344,$147.99,In Stock.,Free Shipping,Black Friday Sale  Exp. 11/29,MK8344
For The Love Of K Blue and White Unisex Watch,SUON106,$49.45,Out of Stock,"","",SUON106
V8 Chronograph Black Dial Black Leather Men's Watch,T0394172605700,$270.00,In Stock.,Free Shipping,Cyber Monday Sale,T0394172605700
Carson White Dial Black Leather Men's Watch,T0854101601300,$177.00,In Stock.,Free Shipping,Cyber Monday Sale,T0854101601300
Carson White Dial Brown Leather Men's Watch,T0854103601100,$225.00,Ships In 1 Day.,Free Shipping,Cyber Monday Sale,T0854103601100
Carson White Dial Brown Leather Men's Watch,T0854103601200,$225.00,In Stock.,Free Shipping,Cyber Monday Sale,T0854103601200
T-Classic Carson White Dial Rose Gold-tone Men's Watch,T0854103601300,$225.00,In Stock.,Free Shipping,Cyber Monday Sale,T0854103601300
White and Red Dial Stainless Steel Ladies Watch,NY2131,$69.99,Out of Stock,"",Cyber Monday Sale,NY2131
Jitney White Dial Gold-tone Stainless Steel Bracelet Ladies Watch,NY2132,$79.99,Ships In 1 - 2 Weeks.,$5.99 Shipped,Cyber Monday Sale,NY2132
Lexington ChronographRose Dial Rose Gold-plated Ladies Watch,NY8862,$98.00,Out of Stock,"",Cyber Monday Sale,NY8862
Defio Black Dial Stainless Steel Men's Watch,0606333,$379.00,In Stock.,Free Shipping,"EXTRA $100 OFF WITH  COUPON CODE ""BF-MV100"" - FINAL PRICE: $279",0606333
Quadro Black Dial Stainless Steel Ladies Watch,0606494,$299.00,Out of Stock,"",Black Friday Sale  Exp. 11/29,0606494
Little Daddy Dual Time Chronograph Black Dial Leather Men's Watch,DZ7291,$139.99,In Stock.,Free Shipping,Cyber Monday Sale,DZ7291
Coachman Chronograph Black Dial Brown Leather Men's Watch,CH2891,$68.99,Ships In 1 - 2 Weeks.,$5.99 Shipped,Cyber Monday Sale,CH2891
Grant Chronograph Black Dial Brown Leather Men's Watch,FS4813,$62.99,Ships In 1 - 2 Weeks.,$5.99 Shipped,Cyber Monday Sale,FS4813
Fawn Dial Brown Leather Men's Watch,BU9011,$322.49,Out of Stock,"","",BU9011
Silver Dial Chronograph Black Leather Strap Men's Watch,BU9355,$535.50,Out of Stock,"","",BU9355
Chronograph Grey Dial Grey Leather Men's Watch,BU9384,$590.71,Out of Stock,"","",BU9384
Cerena Stainless Steel Diamond Ladies Watch,606624,"$1,399.00",Ships In 1 - 2 Weeks.,Free Shipping,"",0606624
PRC 200 Chronograph White Dial Ladies Watch,T055.217.11.033.00,$330.00,Ships In 1 - 2 Weeks.,Free Shipping,Cyber Monday Sale,T0552171103300
Silver Dial Crystal Pendant and Bangle Watch Set,96X111,$86.81,Out of Stock,"","",96X111
Crystal Champagne Dial Stainless Steel Bracelet Ladies Watch,98M114,$109.99,Out of Stock,"",Cyber Monday Sale,98M114
Baby G Whale Series Ladies Watch,BG169R-1,$72.00,Out of Stock,"","",BG169R-1
Beekman White Dial Gold-tone Stainless Steel Bracelet Ladies Watch,NY2140,$71.99,Out of Stock,"",Cyber Monday Sale,NY2140
Beekman Silver Dial Two Tone Steel Ladies Wach,NY2141,$69.99,Out of Stock,"",Cyber Monday Sale,NY2141
Classic Amber Dial Bron Leather Men's Watch,AR1704,$106.00,In Stock.,Free Shipping,Cyber Monday Sale,AR1704
Trueville Black Dial Brown Leather Men's Watch,YWS400,$98.00,Out of Stock,"","",YWS400
Appia Silver Dial Brown Leather Men's Watch,YWS401,$82.99,Out of Stock,"","FREE DOMESTIC SHIPPING  WITH CODE ""FASTSHIP""",YWS401
Quartz Blue Dial Stainless Steel Men's Watch,YWS402G,$86.16,Out of Stock,"","FREE DOMESTIC SHIPPING  WITH CODE ""FASTSHIP""",YWS402G
Eco Drive Blue Dial Black Titanium Men's Watch,CA0525-50L,$269.99,Out of Stock,"","",CA0525-50L
